no ,date,Harga
1,2023-05-30,60359.03059
2,2023-05-31,59232.51339
3,2023-06-01,55065.31239
4,2023-06-02,54992.44706
5,2023-06-03,55434.16643
6,2023-06-04,55754.34656
7,2023-06-05,55706.41489
8,2023-06-06,53742.99092
9,2023-06-07,52274.0748
10,2023-06-08,49700.82326
11,2023-06-09,49535.74442
12,2023-06-10,53141.10438
13,2023-06-11,50394.97652
14,2023-06-12,48760.97416
15,2023-06-13,47243.59234
16,2023-06-14,47597.42057
17,2023-06-15,45556.35835
18,2023-06-16,40206.63133
19,2023-06-17,40870.97379
20,2023-06-18,40697.71779
21,2023-06-19,41757.84427
22,2023-06-20,41015.54323
23,2023-06-21,35568.39295
24,2023-06-22,35863.47618
25,2023-06-23,36570.22717
26,2023-06-24,36835.25879
27,2023-06-25,39404.75059
28,2023-06-26,39266.21138
29,2023-06-27,37893.1216
30,2023-06-28,37764.47543
31,2023-06-29,36612.24534
32,2023-06-30,35920.34056
33,2023-07-01,35430.68952
34,2023-07-02,34666.59475
35,2023-07-03,34176.94371
36,2023-07-04,33976.10753
37,2023-07-05,33854.5683
38,2023-07-06,32630.1482
39,2023-07-07,32605.26624
40,2023-07-08,31753.3943
41,2023-07-09,32029.58209
42,2023-07-10,32382.95759
43,2023-07-11,31213.00199
44,2023-07-12,30041.59923
45,2023-07-13,29862.35252
46,2023-07-14,29950.69639
47,2023-07-15,31191.27036
48,2023-07-16,31628.26215
49,2023-07-17,32647.97644
50,2023-07-18,32334.90324
51,2023-07-19,31893.18388
52,2023-07-20,32749.49216
53,2023-07-21,33460.00289
54,2023-07-22,33931.04798
55,2023-07-23,33710.18829
56,2023-07-24,33489.32861
57,2023-07-25,33268.46892
58,2023-07-26,33831.72752
59,2023-07-27,33831.72752
60,2023-07-28,33268.46892
61,2023-07-29,33144.05757
62,2023-07-30,36544.29168
63,2023-07-31,39475.51872
64,2023-08-01,42667.06748
65,2023-08-02,41768.1502
66,2023-08-03,39663.31017
67,2023-08-04,40479.94547
68,2023-08-05,42951.65374
69,2023-08-06,47550.18799
70,2023-08-07,47141.03165
71,2023-08-08,46345.93679
72,2023-08-09,45418.32612
73,2023-08-10,45431.65739
74,2023-08-11,46558.17459
75,2023-08-12,45626.80418
76,2023-08-13,45719.01769
77,2023-08-14,45939.87737
78,2023-08-15,43344.44406
79,2023-08-16,38908.4517
80,2023-08-17,38855.60988
81,2023-08-18,38833.3911
82,2023-08-19,38074.9487
83,2023-08-20,39363.67414
84,2023-08-21,36926.6431
85,2023-08-22,38672.28104
86,2023-08-23,38984.90149
87,2023-08-24,40732.19335
88,2023-08-25,44148.47143
89,2023-08-26,43470.41383
90,2023-08-27,43375.53713
91,2023-08-28,44033.82651
92,2023-08-28,60359.03059
93,2023-08-29,59232.51339
94,2023-08-30,55065.31239
95,2023-08-31,54992.44706
96,2023-09-01,55434.16643
97,2023-09-02,55754.34656
98,2023-09-03,55706.41489
99,2023-09-04,53742.99092
100,2023-09-05,52274.0748
101,2023-09-06,49700.82326
102,2023-09-07,49535.74442
103,2023-09-08,53141.10438
104,2023-09-09,50394.97652
105,2023-09-10,48760.97416
106,2023-09-11,47243.59234
107,2023-09-12,47597.42057
108,2023-09-13,45556.35835
109,2023-09-14,40206.63133
110,2023-09-15,40870.97379
111,2023-09-16,40697.71779
112,2023-09-17,41757.84427
113,2023-09-18,41015.54323
114,2023-09-19,35568.39295
115,2023-09-20,35863.47618
116,2023-09-21,36570.22717
117,2023-09-22,36835.25879
118,2023-09-23,39404.75059
119,2023-09-24,39266.21138
120,2023-09-25,37893.1216
121,2023-09-26,37764.47543
122,2023-09-27,36612.24534
123,2023-09-28,35920.34056
124,2023-09-29,35430.68952
125,2023-09-30,34666.59475
126,2023-10-01,34176.94371
127,2023-10-02,33976.10753
128,2023-10-03,33854.5683
129,2023-10-04,32630.1482
130,2023-10-05,32605.26624
131,2023-10-06,31753.3943
132,2023-10-07,32029.58209
133,2023-10-08,32382.95759
134,2023-10-09,31213.00199
135,2023-10-10,30041.59923
136,2023-10-11,29862.35252
137,2023-10-12,29950.69639
138,2023-10-13,31191.27036
139,2023-10-14,31628.26215
140,2023-10-15,32647.97644
141,2023-10-16,32334.90324
142,2023-10-17,31893.18388
143,2023-10-18,32749.49216
144,2023-10-19,33460.00289
145,2023-10-20,33931.04798
146,2023-10-21,33710.18829
147,2023-10-22,33489.32861
148,2023-10-23,33268.46892
149,2023-10-24,33831.72752
150,2023-10-25,33831.72752
151,2023-10-26,33268.46892
152,2023-10-27,33144.05757
153,2023-10-28,36544.29168
154,2023-10-29,39475.51872
155,2023-10-30,42667.06748
156,2023-10-31,41768.1502
157,2023-11-01,39663.31017
158,2023-11-02,40479.94547
159,2023-11-03,42951.65374
160,2023-11-04,47550.18799
161,2023-11-05,47141.03165
162,2023-11-06,46345.93679
163,2023-11-07,45418.32612
164,2023-11-08,45431.65739
165,2023-11-09,46558.17459
166,2023-11-10,45626.80418
167,2023-11-11,45719.01769
168,2023-11-12,45939.87737
169,2023-11-13,43344.44406
170,2023-11-14,38908.4517
171,2023-11-15,38855.60988
172,2023-11-16,38833.3911
173,2023-11-17,38074.9487
174,2023-11-18,39363.67414
175,2023-11-19,36926.6431
176,2023-11-20,38672.28104
177,2023-11-21,38984.90149
178,2023-11-22,40732.19335
179,2023-11-23,44148.47143
180,2023-11-24,43470.41383
181,2023-11-25,43375.53713
182,2023-11-26,44033.82651
183,2023-11-26,60359.03059
184,2023-11-27,59232.51339
185,2023-11-28,55065.31239
186,2023-11-29,54992.44706
187,2023-11-30,55434.16643
188,2023-12-01,55754.34656
189,2023-12-02,55706.41489
190,2023-12-03,53742.99092
191,2023-12-04,52274.0748
192,2023-12-05,49700.82326
193,2023-12-06,49535.74442
194,2023-12-07,53141.10438
195,2023-12-08,50394.97652
196,2023-12-09,48760.97416
197,2023-12-10,47243.59234
198,2023-12-11,47597.42057
199,2023-12-12,45556.35835
200,2023-12-13,40206.63133
201,2023-12-14,40870.97379
202,2023-12-15,40697.71779
203,2023-12-16,41757.84427
204,2023-12-17,41015.54323
205,2023-12-18,35568.39295
206,2023-12-19,35863.47618
207,2023-12-20,36570.22717
208,2023-12-21,36835.25879
209,2023-12-22,39404.75059
210,2023-12-23,39266.21138
211,2023-12-24,37893.1216
212,2023-12-25,37764.47543
213,2023-12-26,36612.24534
214,2023-12-27,35920.34056
215,2023-12-28,35430.68952
216,2023-12-29,34666.59475
217,2023-12-30,34176.94371
218,2023-12-31,33976.10753
